Behavior,Category,Description
Caminar,Locomoción,Desplazarse de un punto a otro utilizando los 4 miembros
Subir a echadero,Locomoción,"Subir primero uno de los miembros anteriores, luego el otro; seguido de los posteriores de forma alterna"
Bajar de echadero 1,Locomoción,"De frente, bajar uno de los miembros anteriores, luego el otro; seguido de los posteriores de forma alterna"
Bajar de echadero 2,Locomoción,"De reversa, bajar uno de los miembros posteriores, luego el otro; seguido de los anteriores y girando su dirección"
Bajar de echadero 3,Locomoción,Bajar miembros posteriores del echadero y quedarse en estación 2
Alejarse de bebedero,Locomoción,"Caminar de reversa, en direccion contraria al bebedero"
Alejarse de comedero,Locomoción,"Caminar de reversa, en direccion contraria al comedero"
Acercarse a bebedero,Locomoción,Caminar hacia bebedero
Acercarse a comedero,Locomoción,Caminar hacia comedero
Sacudir cabeza,Respuesta a coerción,Mover enérgicamente la cabeza de un lado a otro causando que las orejas golpeen repetidamente las sienes
Cambiar de comedero,Locomoción,Desplazarse de un área del comedero a otra sacando la cabeza del barandal e introducirla entre dos barrotes diferentes
Patada atrás ,Autorregulación,Levantar uno de los miembros posteriores hacia delante  por debajo del abdomen de forma rápida y regresarlo a su lugar
Golpe de pezuña,Autorregulación,"Levantar algún miembro de forma rápida, separando dicho miebro del suelo unos 40 cm, y volverlo a apoyar inmediatamente"
Resistencia 1,Respuesta a coerción,"Eje corporal hacia atrás, trata de retroceder"
Resistencia 2,Respuesta a coerción,"Eje corporal hacia atrás, movimiento de cabeza de un lado a otro"
Ñam,Autorregulación,(Observado en becerros) Abrir y cerrar la boca una o dos veces haciendo un ruido característico como si se saboreara algo pero sin presencia de alimento o bebida
Cola 1,Locomoción cola,Movimiento suave de la cola en patrón de péndulo (de lado a lado sin flexionarse)
Cola 2,Locomoción cola,Movimiento intenso que lleva la punta de la cola hasta el sacro enroscándola ligeramente
Cola 3,Locomoción cola,Movimiento intenso que lleva la punta de la cola hasta el costado
Cola 4,Locomoción cola,Cola tensa curveada hacia abdomen con la punta entre los miembros posteriores
Reflejo cutaneo,Autorregulación,"Temblor involuntario de la piel con el fin de ahuyentar una molestia (moscas, particulas de heno, etc.)"
Orejas 1,Locomoción orejas,Movimiento breve de las orejas hacia delante o hacia atras (1-2 movimientos)
Orejas 2,Locomoción orejas,Movimiento continuo de las orejas hacia adelante y hacia atrás (4-6 veces aprox.)
Orejas 3,Locomoción orejas,Flexionar orejas hacia atrás pegándolas al cráneo 
Forma de echarse 1,Descanso,"Flexionar miembros anteriores haciendo contacto con el suelo la articulación del carpo, apoyar la mayoría del peso levando el eje corporal hacia delante y dejar caer lentamente el tren posterior verticalmente"
Forma de echarse 2,Descanso,"Flexionar miembros anteriores haciendo contacto con el suelo la articulacion del carpo, apoyar la mayoría del peso y dejar caer lentamente el tren posterior girando ligeramente la cadera hacia un lado"
Echada 1,Descanso,"Recostarse en el suelo con los miembros anteriores flexionados, los posteriores ligeramente girados hacia un lado y flexionados y la cabeza erguida"
Echada 2,Descanso,"Recostarse en el suelo con los miebros anteriores flexionados, los posteriores ligeramente girados hacia un lado y flexionados y la cabeza apoyada en los miembros anteriores"
Echada 3,Descanso,"Recostarse en el suelo con los miebros anteriores flexionados, los posteriores ligeramente girados hacia un lado y estirados y la cabeza erguida"
Echada 4,Descanso,"Recostarse en el suelo con los miembros anteriores flexionados, los posteriores ligeramente girados hacia un lado y flexionados y la cabeza recargada en un objeto, superficie o individuo "
Estación 1,Descanso, Parado sobre los cuatro miembros apoyados en el suelo
Estación 2,Descanso,Parado con los dos miembros anteriores sobre la plataforma y los dos miebros posteriores apoyados en el suelo
Estación 3,Descanso,"Parado sobre los cuatro miembros apoyados en el suelo mientras se recarga la mandibula en una superficie (barda, echadero, otra vaca)"
Cerrar ojos,Descanso,Dejar que los párpados cubran los ojos sin estar dormido
Levantarse ,Descanso,"Apoyarse en la articulacion del carpo de ambos miembros anteriores, extender en su totalidad los miebros del tren posterior, y por ultimo extender miembros anteriores. "
Orinar 1,Eliminación,"Espalda encorvada ligeramente, cola tensa en forma de arco, expulsión de orina en cantidad abundante (aprox. 4 segundos)"
Orinar 2,Eliminación,"Espalda encorvada ligeramente, cola tensa enroscada hacia arriba y apoyada en el sacro, expulsión de orina en cantidad abundante (aprox. 4 segundos)"
