Day,Scan,Category,Proportion,Flag,Severity
1,1,Locomoción,0.5,HIGH_OUTLIER,HIGH
1,2,Comer,0.875,HIGH_OUTLIER,HIGH
1,5,Descanso,0.125,LOW_OUTLIER,LOW
1,6,Beber,0.375,HIGH_OUTLIER,HIGH
1,9,Exploración,0.4285714285714285,HIGH_OUTLIER,HIGH
1,11,Descanso,0.0833333333333333,LOW_OUTLIER,HIGH
2,3,Beber,0.1111111111111111,LOW_OUTLIER,HIGH
2,5,Afiliativa,0.0555555555555555,LOW_OUTLIER,HIGH
2,7,Apaciguamiento,0.0588235294117647,LOW_OUTLIER,HIGH
2,7,Exploración,0.0588235294117647,LOW_OUTLIER,HIGH
2,8,Cuidado corporal,0.0526315789473684,LOW_OUTLIER,HIGH
2,9,Locomoción,0.0555555555555555,LOW_OUTLIER,HIGH
2,9,Rumiación,0.0555555555555555,LOW_OUTLIER,HIGH
2,10,Afiliativa,0.1428571428571428,HIGH_OUTLIER,HIGH
2,12,Locomoción cola,0.4705882352941176,HIGH_OUTLIER,HIGH
3,1,Descanso,0.6363636363636364,HIGH_OUTLIER,LOW
3,2,Descanso,0.8,HIGH_OUTLIER,HIGH
3,3,Autorregulación,0.125,HIGH_OUTLIER,HIGH
3,4,Rumiación,0.4,HIGH_OUTLIER,LOW
3,5,Locomoción cola,0.0714285714285714,LOW_OUTLIER,LOW
3,6,Rumiación,0.4285714285714285,HIGH_OUTLIER,HIGH
3,7,Cuidado corporal,0.3571428571428571,HIGH_OUTLIER,HIGH
3,7,Locomoción cola,0.0714285714285714,LOW_OUTLIER,LOW
3,9,Autorregulación,0.1,LOW_OUTLIER,HIGH
3,11,Apaciguamiento,0.1428571428571428,HIGH_OUTLIER,HIGH
3,12,Locomoción cola,0.375,HIGH_OUTLIER,LOW
3,12,Rumiación,0.0625,LOW_OUTLIER,LOW
