Category,Proportion
Descanso,0.3546391752577319
Comer,0.15876288659793814
Locomoción cola,0.15463917525773196
Rumiación,0.1360824742268041
Exploración,0.07422680412371134
Locomoción,0.041237113402061855
Cuidado corporal,0.020618556701030927
Beber,0.016494845360824743
Afiliativa,0.016494845360824743
Apaciguamiento,0.006185567010309278
Autorregulación,0.006185567010309278
Agonista,0.004123711340206186
Locomoción orejas,0.002061855670103093
Eliminación,0.0
Respuesta a coerción,0.0
Otras generales,0.0
Vocalización,0.0
