Category,1,2,3,4,5,6
Afiliativa,0.0,0.0,0.0,0.0,0.05555555555555555,0.0625
Apaciguamiento,0.0,0.0,0.0,0.0,0.0,0.0
Beber,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
Comer,0.07692307692307693,0.05263157894736842,0.05555555555555555,0.14285714285714285,0.05555555555555555,0.0625
Cuidado corporal,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
Descanso,0.5384615384615384,0.47368421052631576,0.4444444444444444,0.5,0.3333333333333333,0.4375
Exploración,0.0,0.0,0.1111111111111111,0.0,0.0,0.0625
Locomoción,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
Locomoción cola,0.0,0.3684210526315789,0.1111111111111111,0.14285714285714285,0.3333333333333333,0.1875
Rumiación,0.23076923076923078,0.10526315789473684,0.16666666666666666,0.21428571428571427,0.2222222222222222,0.1875
