Scan,Afiliativa,Apaciguamiento,Beber,Comer,Cuidado corporal,Descanso,Exploración,Locomoción,Locomoción cola,Rumiación
1,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.5384615384615384,0.0,0.07692307692307693,0.0,0.23076923076923078
2,0.0,0.0,0.0,0.05263157894736842,0.0,0.47368421052631576,0.0,0.0,0.3684210526315789,0.10526315789473684
3,0.0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111,0.16666666666666666
4,0.0,0.0,0.0,0.14285714285714285,0.0,0.5,0.0,0.0,0.14285714285714285,0.21428571428571427
5,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.2222222222222222
6,0.0625,0.0,0.0,0.0625,0.0,0.4375,0.0625,0.0,0.1875,0.1875
7,0.0,0.058823529411764705,0.0,0.0,0.0,0.47058823529411764,0.058823529411764705,0.0,0.17647058823529413,0.23529411764705882
8,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.3157894736842105,0.10526315789473684,0.0,0.2631578947368421,0.21052631578947367
9,0.0,0.0,0.0,0.16666666666666666,0.0,0.4444444444444444,0.0,0.05555555555555555,0.2777777777777778,0.05555555555555555
10,0.14285714285714285,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.21428571428571427,0.07142857142857142
11,0.07142857142857142,0.0,0.0,0.0,0.0,0.5,0.07142857142857142,0.0,0.2857142857142857,0.07142857142857142
12,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.0,0.11764705882352941,0.47058823529411764,0.0
