Scan,Afiliativa,Agonista,Apaciguamiento,Autorregulación,Cuidado corporal,Descanso,Exploración,Locomoción,Locomoción cola,Locomoción orejas,Rumiación
1,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.6363636363636364,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091
2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.1
3,0.0,0.0,0.0,0.125,0.0,0.4375,0.0,0.0,0.125,0.0,0.3125
4,0.06666666666666667,0.0,0.0,0.0,0.0,0.4666666666666667,0.06666666666666667,0.0,0.0,0.0,0.4
5,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.07142857142857142,0.0,0.35714285714285715
6,0.0,0.0,0.0,0.0,0.0,0.5,0.07142857142857142,0.0,0.0,0.0,0.42857142857142855
7,0.0,0.0,0.0,0.0,0.35714285714285715,0.5,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142
8,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.07142857142857142,0.0,0.21428571428571427,0.0,0.35714285714285715
9,0.0,0.0,0.0,0.1,0.0,0.6,0.0,0.1,0.0,0.0,0.2
10,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.18181818181818182,0.09090909090909091,0.0,0.2727272727272727
11,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.35714285714285715,0.0,0.0,0.2857142857142857,0.07142857142857142,0.0
12,0.0,0.0,0.0,0.0,0.0625,0.25,0.125,0.125,0.375,0.0,0.0625
