Individual,Category,OUT,IN,NET,WEIGHT,W_NET,TOTAL,BIAS
N1,Agonista,12,0,12,242.5,2910.0,12,1.0
N1,Apaciguamiento,0,2,-2,161.66666666666669,-323.33333333333337,2,-1.0
N1,Afiliativa,0,3,-3,60.625,-181.875,3,-1.0
N2,Agonista,36,0,36,242.5,8730.0,36,1.0
N2,Apaciguamiento,0,1,-1,161.66666666666669,-161.66666666666669,1,-1.0
N2,Afiliativa,0,0,0,60.625,0.0,0,0.0
N3,Agonista,5,3,2,242.5,485.0,8,0.25
N3,Apaciguamiento,0,0,0,161.66666666666669,0.0,0,0.0
N3,Afiliativa,3,0,3,60.625,181.875,3,1.0
N4,Agonista,2,3,-1,242.5,-242.5,5,-0.2
N4,Apaciguamiento,1,1,0,161.66666666666669,0.0,2,0.0
N4,Afiliativa,5,2,3,60.625,181.875,7,0.42857142857142855
N5,Agonista,0,36,-36,242.5,-8730.0,36,-1.0
N5,Apaciguamiento,1,0,1,161.66666666666669,161.66666666666669,1,1.0
N5,Afiliativa,0,0,0,60.625,0.0,0,0.0
N6,Agonista,0,11,-11,242.5,-2667.5,11,-1.0
N6,Apaciguamiento,1,0,1,161.66666666666669,161.66666666666669,1,1.0
N6,Afiliativa,0,3,-3,60.625,-181.875,3,-1.0
N7,Agonista,0,2,-2,242.5,-485.0,2,-1.0
N7,Apaciguamiento,1,0,1,161.66666666666669,161.66666666666669,1,1.0
N7,Afiliativa,0,0,0,60.625,0.0,0,0.0
N8,Agonista,0,0,0,242.5,0.0,0,0.0
N8,Apaciguamiento,0,0,0,161.66666666666669,0.0,0,0.0
N8,Afiliativa,0,0,0,60.625,0.0,0,0.0
